,name,artists:name,id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
35,Greek Tragedy,The Wombats,28C4nmrd7BTu0XbOmaTHZr,209557,0.515,0.869,11,-4.732,1,0.0672,0.00257,2.01e-06,0.21,0.452,93.24,4
36,Seattle,Jonah Taylor,0VmKDSE7p7V06TNwQ9902d,233406,0.623,0.613,10,-10.894,1,0.036,0.499,0.000333,0.1,0.48,90.986,4
37,Strange Clouds,ufo ufo,7o9fFaoToMlmcTftxZmgMs,206240,0.653,0.722,4,-7.3,1,0.0292,0.0571,0.0492,0.107,0.888,128.018,4
38,Weathervane,Coral Bones,2cZvP28Oq6Nim46YgpUqI5,257830,0.68,0.654,0,-9.267,0,0.0421,0.243,0.148,0.158,0.51,119.99,4
39,Queensway,Coral Bones,2ZEcbXJgLAIpjVEtTr7xa1,201187,0.737,0.749,7,-3.898,1,0.0357,0.00899,0.000603,0.273,0.816,111.998,4
40,slow motion,flor,429dLeFfHyna5WoRtYf5Su,187824,0.703,0.593,11,-6.568,1,0.0369,0.796,0.0168,0.102,0.333,115.96,4
41,melancholyism.,Super Whatevr,1CQVzq4IfjcICRS3XsiTnq,188106,0.44,0.652,0,-6.201,0,0.079,0.0357,0.000136,0.0587,0.5,93.353,4
42,Kalmia Kid,chloe moriondo,6w3qUOipi7ir0f0VIsRYk4,239737,0.602,0.396,2,-9.36,1,0.039,0.486,0.0,0.0714,0.457,129.942,4
43,Holiday in Danville,Hunter Hunted,77sRwm6Y8K3XCvsG6d6SfY,190657,0.513,0.229,7,-13.396,1,0.0343,0.959,5.32e-06,0.12,0.226,75.996,4
44,Torn - Bonus Track,James TW,5511Aj0mYSejKP6fplsoRk,196213,0.599,0.546,9,-6.459,1,0.159,0.306,0.0,0.119,0.411,95.141,4
45,broken,lovelytheband,6XcfKZvJio9Z0fQy11GnNX,204878,0.666,0.728,7,-5.808,1,0.0419,0.00175,4.26e-06,0.0429,0.51,122.996,4
46,The Judge,Twenty One Pilots,1lguQJjlNrIOoOylYVZN3M,297760,0.423,0.797,0,-4.659,1,0.124,0.177,0.0,0.137,0.592,82.617,4
47,Dollar,Electric Guest,6dXVbkS1t7jQs3maRSM9pW,208746,0.799,0.58,0,-8.152,0,0.0891,0.47,0.000183,0.154,0.601,95.039,4
48,This Was a Home Once,Bad Suns,7LqYqe7uhDc1pw9urRoGq6,195173,0.701,0.717,8,-5.553,1,0.0277,0.0335,0.000488,0.176,0.606,106.024,4
49,still feel.,half•alive,48XkVAagIoQHCsOlJtXUd5,247786,0.779,0.516,10,-6.467,0,0.0521,0.148,0.0,0.0492,0.715,120.026,4
50,Grenadine,Oliver Hazard,02w4jlD7486J2arFerSVlJ,207706,0.59,0.62,5,-8.254,1,0.0379,0.668,0.000225,0.097,0.286,166.349,4
51,Beautiful Now,"Zedd, Jon Bellion",2ISSQPb9LHHiV6ng2NXosL,218293,0.628,0.833,11,-4.126,0,0.0282,0.0079,1.48e-05,0.074,0.56,128.003,4
52,Red Wine,Follies & Vices,2XW6T2nwcDjuUnFaiWbvKx,201964,0.747,0.643,2,-8.217,1,0.169,0.116,6.08e-06,0.0815,0.406,111.96,4
53,Wolverine,Goghi,6MZKIg2WfR1qnuAqKBVeqo,210037,0.64,0.483,7,-7.625,1,0.046,0.308,0.0,0.184,0.448,101.042,4
54,Runaways (feat. Teemu),"Sam Feldt, Deepend, Teemu",7N3KIPb2x4FzKUeonhw9sd,182400,0.75,0.57,11,-5.724,1,0.0311,0.184,0.0,0.129,0.644,119.95,4
55,Eyes Wide,"Handsome Ghost, Whole Doubts",1VgSDNsbw9Hv5uWSAC4PDp,195364,0.525,0.446,8,-8.98,1,0.0422,0.187,1.43e-06,0.0622,0.666,99.981,4
56,Lisztomania,Phoenix,7hwcojGiRqYm100tSmpZE3,241640,0.486,0.784,0,-6.68,1,0.0852,0.0339,0.00452,0.53,0.315,195.154,4
57,Cemetery,COIN,4hnjS0dbHpJwBlCkEAKVyX,177146,0.655,0.856,1,-4.615,0,0.0315,0.148,3.67e-06,0.126,0.941,126.984,4
58,Downward,Ripe,00KiXBZT9vf1XhcqkFrzug,224411,0.729,0.641,1,-5.871,1,0.038,0.15,0.0,0.114,0.714,120.002,4
59,What You Know,Two Door Cinema Club,3UjtIALeg72qmJiKPWBvM3,191706,0.561,0.741,6,-4.239,0,0.0419,0.000715,1.4e-05,0.0822,0.776,139.001,4
60,Norman Rockwell,The Mowgli's,6KoITnQRoqSZ8Nmtx9vmAC,225174,0.46,0.732,11,-6.611,0,0.0758,0.119,0.0,0.299,0.659,84.931,4
61,Grip - Alternative Version,"Seeb, Bastille",7yOv1YISwpujFFQm6blOts,233105,0.53,0.444,0,-9.779,0,0.0338,0.669,0.0,0.142,0.165,122.917,4
62,Happier,"Marshmello, Bastille",2dpaYNEQHiRxtZbfNsse99,214289,0.687,0.792,5,-2.749,1,0.0452,0.191,0.0,0.167,0.671,100.015,4
63,Places,The National Parks,1TkzittARXqOUAP9wHTJwH,195923,0.526,0.743,2,-5.122,1,0.0437,0.122,1.29e-05,0.0566,0.295,127.945,4
64,Home,"Vince Staples, Richie Kohan",7pBsquIkbED6W6uSQJGbkn,211360,0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,4
65,Memories,Thutmose,2CWOMDYFK4Ef3867nEhnVM,199146,0.567,0.651,5,-7.146,0,0.0554,0.0519,0.0,0.183,0.519,93.989,4
66,Small Infinity,Whim,5nFcXNFiOrFpv138m9FQKz,194815,0.765,0.245,1,-16.059,1,0.0423,0.622,0.000296,0.124,0.116,103.863,4
67,Featherstone,The Paper Kites,45p0MAVey0dnjZXo8kMUzh,229626,0.803,0.373,8,-13.692,1,0.0367,0.868,0.0266,0.104,0.636,124.921,4
68,I Always Knew,The Vaccines,6XCo0c6gNbKr0a7L5aI3bq,214346,0.393,0.872,2,-2.53,1,0.0401,0.000122,0.000407,0.312,0.394,150.087,4
69,chance with you,mehro,7qFtcljd0PZ5kJZos70YjT,215515,0.562,0.494,4,-8.13,0,0.0278,0.864,0.0259,0.153,0.383,144.104,4
70,Who You Are - One,The Genius Buddha Band,4E5lWUoP23YehtK5dPBkz0,242066,0.682,0.749,0,-8.461,1,0.111,0.0154,0.0,0.276,0.809,115.956,4
71,Haunted,Nekokat,47p4D60sMDGfMCKbyssb35,223136,0.633,0.895,7,-4.209,1,0.0473,0.0742,0.0,0.0611,0.758,100.007,4
72,Maybe IDK,Jon Bellion,6pTDPaMcN5KSYD8hJ1uWId,233392,0.54,0.54,9,-6.517,1,0.0539,0.0616,0.0,0.231,0.209,120.266,4
73,Overgrown,Oh Wonder,2GWq94s0GbBHrIgpmkueYX,238293,0.565,0.475,5,-5.038,1,0.0319,0.164,0.000382,0.0861,0.7,144.764,4
74,Piece of Bone,Mantaraybryn,0qevCJExBvsowAenWfWmCJ,246039,0.819,0.644,5,-5.875,0,0.0491,0.153,3.37e-05,0.102,0.335,124.982,4
75,Alone Sometimes,The Mowgli's,0ne8iNLplH15M6EtgzPkf0,166743,0.413,0.902,3,-5.384,0,0.0646,0.0909,0.0,0.096,0.753,79.253,4
76,Meteor Showers,Andy Kong,6XnzOpvlN89dX9DSjNHhTq,254721,0.526,0.442,3,-10.633,1,0.0371,0.629,4.76e-06,0.101,0.264,121.869,4
77,Goodbye,Who Is Fancy,6K5xY7EabiBLjd2HuBQIak,206213,0.717,0.692,5,-6.735,1,0.0466,0.0635,0.00049,0.0923,0.602,114.997,4
78,Songs I Can't Listen To,Neon Trees,1WMBlpjhd3AUQiNfJOzfIl,200626,0.473,0.833,11,-4.996,0,0.0423,0.00781,2.99e-05,0.0737,0.705,175.02,4
79,Honey,Magic Man,52h6tJhAz9MDyS8MSIDeIP,223506,0.392,0.754,3,-8.721,0,0.035,0.0686,0.0145,0.097,0.454,179.026,4
80,Oh No!,HARBOUR,6T885IZ6wstBlbe9l8hPRM,195846,0.632,0.811,0,-6.731,1,0.0464,0.0229,0.0,0.0907,0.502,130.002,4
81,Missing You,All Time Low,0c2yZp1tTYAUiKraMdS8Yg,244823,0.56,0.731,2,-6.121,1,0.0281,0.0475,0.0,0.282,0.401,99.981,4
82,Badlands,The Born Love,50D0BuAq606nl3rl3nmDMv,276629,0.573,0.456,5,-10.338,0,0.0297,0.283,0.00276,0.106,0.14,118.007,4
83,Bear Claws,The Academic,3gRBq8PfyrNu2C5yKp5xVI,213114,0.556,0.87,11,-1.901,0,0.0364,0.0165,0.0,0.0991,0.631,97.002,4
84,Lay It on Me,Vance Joy,7oekneJCJO74ycdLzdk16v,215493,0.733,0.663,5,-5.766,1,0.0322,0.101,6.98e-06,0.0694,0.53,127.974,4
85,Ain't Scared,The Tragic Thrills,2biu8WurRDNQmESkKcLM2k,260333,0.68,0.619,7,-7.08,1,0.028,0.0275,2e-05,0.316,0.677,119.993,4
86,Overdose,Royal Tongues,2reabcuJI77J5lg7JJovtp,202770,0.432,0.938,1,-4.773,1,0.112,0.0195,0.0,0.455,0.447,104.726,4
87,Street Fight,Smallpools,0hxy93CbIX7Hd5WXaVjx5R,203453,0.556,0.916,0,-5.143,1,0.0398,8.95e-05,0.00341,0.347,0.473,116.065,4
88,Sedona,Sleeplust,7DOvZ55XtSMzpQeK49lRiw,242561,0.588,0.716,0,-5.496,1,0.0305,0.0334,6.4e-05,0.117,0.336,92.006,4
89,Monsoon,Hippo Campus,3QJUvByLFesgWYAgnL8JbA,222820,0.29,0.308,5,-11.074,1,0.0442,0.938,0.0294,0.106,0.205,84.88,1
90,Western Kids,Hippo Campus,4NzZbRu1J9V5KrH2ZFs3O4,194829,0.642,0.91,10,-4.033,1,0.127,0.0381,0.000127,0.412,0.519,103.127,4
91,Spiderweb,The Mowgli's,3JSfJxzxCZeU6haPMl5NAT,162553,0.549,0.77,4,-5.641,1,0.0377,0.0692,0.0,0.103,0.613,150.072,3
92,Somebody Just As Good As You,90's Kids,6JFlzYTuOJKAWOey35A0Ur,246886,0.575,0.811,2,-6.532,1,0.0406,0.122,0.00046,0.112,0.667,109.968,4
93,4Her,PUBLIC,7wjpGRQsfuvlxB1PF4vW7y,252591,0.681,0.791,1,-5.418,0,0.0735,0.277,3.12e-06,0.16,0.55,121.021,4
94,Dreaming,Smallpools,6cMswWRv4lAU3mh5lclgCc,216253,0.612,0.89,10,-2.827,0,0.047,0.000478,0.0,0.0672,0.886,118.989,4
95,Hang Your Heart,Tokyo Police Club,2WQzIYcF7BZe85MW1IA9vv,283586,0.643,0.687,10,-8.224,1,0.048,0.0328,0.0145,0.095,0.162,125.995,4
96,Sit Next to Me,Foster The People,4BdGO1CaObRD4La9l5Zanz,243146,0.638,0.738,6,-4.976,0,0.0292,0.117,0.000384,0.689,0.657,97.021,4
97,I Drown Myself,The Genius Buddha Band,46YOvkIToGFhXRhfTT7UjH,217872,0.555,0.734,6,-7.394,0,0.0405,0.00096,0.00178,0.104,0.525,117.889,4
98,Tether,Sleep State,49AY652l5Ubg7roDGHGVOY,168866,0.571,0.73,6,-5.561,0,0.0256,0.282,5.61e-05,0.0646,0.666,87.007,4
99,The Anchor,Bastille,2I9jWY0hmfTlRgCsJiEImf,204819,0.368,0.759,8,-3.812,0,0.0573,0.314,0.0,0.138,0.315,131.452,4
100,Oh Devil,Electric Guest,1kcfGBb6kSrGqNIMW7rAlB,217586,0.903,0.532,7,-7.188,0,0.0593,0.122,0.0345,0.176,0.701,96.991,4
101,A Dark Congregation,The Hush Sound,4OOyte7lHJumYvF0vL3jpq,192480,0.432,0.72,1,-6.297,1,0.0355,0.0287,0.0103,0.178,0.534,186.766,4
102,"10,000 Emerald Pools",BØRNS,2pA4ip3VIEVcIa3qE02oAX,174693,0.568,0.578,6,-5.589,1,0.0404,0.00694,0.000353,0.099,0.555,139.951,4
103,The Other Side Of Paradise,Glass Animals,0rRjGruFonCGOt0S5zAJNQ,320654,0.689,0.338,11,-7.634,0,0.0629,0.349,5.7e-05,0.0649,0.568,128.012,4
104,Simple Season,Hippo Campus,7GwXIkPT4jxQ2q6mhOmoHM,207133,0.598,0.784,8,-4.376,1,0.0337,0.514,0.0,0.123,0.597,105.009,4
105,Hand Of God - Outro,Jon Bellion,6ej9jEXBeQI7PTbx68KHfi,337551,0.538,0.538,0,-6.601,0,0.164,0.302,0.0,0.121,0.389,153.958,4
106,Bloom - Bonus Track,The Paper Kites,41yIvlFgvGwxq8qTqAR7eG,210080,0.592,0.416,1,-9.794,1,0.0246,0.882,0.000586,0.112,0.417,96.002,4
